City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,zouerate,22.7187,-12.4521,84.33,16,50,10.38,MR,1743789924
282,palmer,42.1584,-72.3287,66.31,29,75,17.27,US,1743789926
283,krasnohrad,49.3814,35.4402,54.93,55,1,7.47,UA,1743789927
284,gaiman,-43.2897,-65.4929,59.2,14,0,17.29,AR,1743789928
285,uturoa,-16.7333,-151.4333,82.53,77,100,14.67,PF,1743789929
286,dharapuram,10.7333,77.5167,81.55,68,96,3.02,IN,1743789930
287,macia,-25.0269,33.0989,70.79,80,50,5.59,MZ,1743789932
288,jumla,29.2747,82.1838,40.42,41,31,5.64,NP,1743789786
289,ontario,34.0633,-117.6509,65.48,48,20,11.01,US,1743789934
290,san luis de la loma,17.2706,-100.8939,85.91,42,2,7.9,MX,1743789935
291,atasu,48.6814,71.6433,39.61,73,98,13.13,KZ,1743789936
292,murzuq,25.9155,13.9184,80.24,7,0,11.7,LY,1743789938
293,hauterive,46.0901,3.4459,66.34,48,89,2.39,FR,1743789939
294,narvik,68.4384,17.4272,27.81,92,62,2.48,NO,1743789940
295,horta,38.5333,-28.6333,53.24,79,75,28.77,PT,1743789786
296,berbera,10.4396,45.0143,80.24,82,6,5.3,SO,1743789942
297,mandalay,21.9747,96.0836,88.02,19,52,4.94,MM,1743789943
298,port lincoln,-34.7333,135.8667,59.18,71,69,5.84,AU,1743789945
299,bubaque,11.2833,-15.8333,75.2,73,47,17.74,GW,1743789947
300,guaruja,-23.9931,-46.2564,80.46,31,75,5.75,BR,1743789886
301,caninde,-4.3589,-39.3117,86.02,55,77,7.63,BR,1743789949
302,richards bay,-28.783,32.0377,69.62,92,100,7.92,ZA,1743789950
303,floresti,47.8933,28.3014,56.52,59,10,3.18,MD,1743789951
304,akureyri,65.6835,-18.0878,49.93,34,0,13.8,IS,1743789952
305,hard bargain,26.3167,-77.5667,77.7,79,0,16.89,BS,1743789953
